Round,Turn,Entity,Casey cash,Linda cash,Ty cash,John cash,Jeff cash,Casey net,Linda net,Ty net,John net,Jeff net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train 
2,0,Baltimore & Ohio,25,0,5,5,25,300,300,335,335,300,490,275,0,0,0,275,0,0,300,0,10,0,0,0,0,0,0,0,0,0,66,55,34,34,34,55,34,34,60,34,7,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,2
2,1,Pennsylvania,25,10,5,5,25,300,340,335,335,300,490,275,0,0,0,275,0,0,195,0,10,0,0,0,0,0,0,0,20,0,66,55,34,34,34,55,34,34,66,34,7,0,0,0,0,0,0,0,8,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,3
2,2,New York Central,35,10,5,5,25,335,340,335,335,300,490,275,0,0,0,155,0,0,195,0,10,0,0,0,0,20,0,0,20,0,66,55,34,34,34,60,34,34,66,34,7,0,0,0,0,7,0,0,8,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,4
2,3,Boston & Maine,35,10,5,5,30,335,340,335,335,330,490,185,0,0,0,155,0,0,195,0,10,10,0,0,0,20,0,0,20,0,66,60,34,34,34,60,34,34,66,34,7,6,0,0,0,7,0,0,8,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,5
3,0,Baltimore & Ohio,35,10,10,10,30,335,340,340,340,330,470,185,0,0,0,155,0,0,195,0,10,10,0,0,0,20,0,0,20,0,66,60,34,34,34,60,34,34,66,34,1,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,5
3,1,Pennsylvania,35,20,10,10,30,335,350,340,340,330,470,185,0,0,0,155,0,0,185,0,10,10,0,0,0,20,0,0,20,0,66,60,34,34,34,60,34,34,66,34,1,0,0,0,0,0,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,5
3,2,New York Central,55,20,10,10,30,385,350,340,340,330,470,185,0,0,0,35,0,0,185,0,10,10,0,0,0,40,0,0,20,0,66,60,34,34,34,66,34,34,66,34,1,0,0,0,0,10,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
3,3,Boston & Maine,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,1,8,0,0,0,10,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
1,0,John,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
1,1,Ty,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
1,2,Linda,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
1,3,Jeff,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
1,4,Casey,55,20,10,10,40,385,350,340,340,370,470,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
2,0,Baltimore & Ohio,55,20,15,15,40,385,350,345,345,370,410,185,0,0,0,35,0,0,185,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,1,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
2,1,Pennsylvania,55,30,15,15,40,385,360,345,345,370,410,185,0,0,0,35,0,0,115,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,1,0,0,0,0,0,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
2,2,New York Central,75,30,15,15,40,405,360,345,345,370,410,185,0,0,0,45,0,0,115,0,10,20,0,0,0,40,0,0,20,0,66,66,34,34,34,66,34,34,66,34,1,0,0,0,0,4,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,6
2,3,Boston & Maine,75,30,15,15,55,405,360,345,345,425,410,20,0,0,0,45,0,0,115,0,10,30,0,0,0,40,0,0,20,0,66,74,34,34,34,66,34,34,66,34,1,11,0,0,0,4,0,0,2,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
3,0,Boston & Maine,75,30,15,15,80,405,360,345,345,490,410,35,0,0,0,45,0,0,115,0,10,50,0,0,0,40,0,0,20,0,66,82,34,34,34,66,34,34,66,34,0,13,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
3,1,Baltimore & Ohio,75,30,40,40,80,405,360,410,410,490,410,35,0,0,0,45,0,0,115,0,50,50,0,0,0,40,0,0,20,0,74,82,34,34,34,66,34,34,66,34,13,13,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
3,2,Pennsylvania,75,60,40,40,80,405,430,410,410,490,410,35,0,0,0,45,0,0,145,0,50,50,0,0,0,40,0,0,60,0,74,82,34,34,34,66,34,34,74,34,13,13,0,0,0,0,0,0,14,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
3,3,New York Central,75,60,40,40,80,375,430,410,410,490,410,35,0,0,0,55,0,0,145,0,50,50,0,0,0,30,0,0,60,0,74,82,34,34,34,60,34,34,74,34,13,13,0,0,0,-6,0,0,14,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
1,0,John,75,60,40,40,80,375,430,410,410,490,410,35,0,0,0,55,0,0,145,0,50,50,0,0,0,30,0,0,60,0,74,82,34,34,34,60,34,34,74,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
1,1,Ty,75,60,40,40,80,375,430,410,410,490,410,35,0,0,0,55,0,0,145,0,50,50,0,0,0,30,0,0,60,0,74,82,34,34,34,60,34,34,74,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,5,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
1,2,Linda,75,0,40,40,80,375,430,410,410,490,410,35,0,0,0,115,0,0,145,0,50,50,0,0,0,30,0,0,60,0,74,82,34,34,34,60,34,34,74,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,4,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
1,3,Casey,15,0,40,40,80,375,430,410,410,490,410,35,0,0,0,175,0,0,145,0,50,50,0,0,0,30,0,0,60,0,74,82,34,34,34,60,34,34,74,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,5,10,0,0,0,0,0,0,0,0,0,0,7
1,4,Jeff,15,0,40,40,186,375,430,410,410,482,410,35,0,0,0,175,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,0,John,15,0,40,40,186,375,430,410,410,482,410,35,0,0,0,175,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,1,Ty,15,0,40,40,186,375,430,410,410,482,410,35,0,0,0,175,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,2,Linda,15,0,40,40,186,375,430,410,410,482,410,35,0,0,0,175,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,3,Casey,15,0,40,40,186,375,430,410,410,482,410,35,0,0,0,175,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,3,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,4,Jeff,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,0,John,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,1,Ty,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,2,Linda,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,3,Casey,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
1,4,Jeff,15,0,40,40,6,375,430,410,410,482,410,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,74,34,34,34,60,34,34,74,34,0,-8,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,7
2,0,Baltimore & Ohio,15,0,65,65,6,375,430,435,435,474,140,35,0,0,0,355,0,0,367,0,50,50,0,0,0,30,0,0,60,0,74,66,34,34,34,60,34,34,74,34,5,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,8
2,0,Baltimore & Ohio,15,0,75,75,6,375,430,485,485,474,140,35,0,0,0,355,0,0,367,0,70,50,0,0,0,30,0,0,60,0,82,66,34,34,34,60,34,34,74,34,15,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,8
2,1,Pennsylvania,15,50,75,75,36,375,520,485,485,528,140,35,0,0,0,355,0,0,197,0,70,50,0,0,0,30,0,0,100,0,82,66,34,34,34,60,34,34,82,34,15,0,0,0,0,0,0,0,18,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,9
2,2,Boston & Maine,15,50,75,75,36,375,520,485,485,528,140,85,0,0,0,355,0,0,197,0,70,50,0,0,0,30,0,0,100,0,82,66,34,34,34,60,34,34,82,34,15,0,0,0,0,0,0,0,18,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,9
2,3,New York Central,63,58,75,75,60,459,534,485,485,570,140,85,0,0,0,225,0,0,197,0,70,50,0,0,0,80,0,0,100,0,82,66,34,34,34,66,34,34,82,34,15,0,0,0,0,14,0,0,18,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,10
3,0,Baltimore & Ohio,63,58,115,115,60,459,534,570,570,570,70,85,0,0,0,225,0,0,197,0,80,50,0,0,0,80,0,0,100,0,91,66,34,34,34,66,34,34,82,34,17,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,10
3,1,Pennsylvania,63,123,115,115,99,459,644,570,570,636,70,85,0,0,0,225,0,0,123,0,80,50,0,0,0,80,0,0,130,0,91,66,34,34,34,66,34,34,91,34,17,0,0,0,0,0,0,0,22,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,11
3,2,Boston & Maine,63,123,115,115,99,459,644,570,570,636,70,135,0,0,0,225,0,0,123,0,80,50,0,0,0,80,0,0,130,0,91,66,34,34,34,66,34,34,91,34,17,0,0,0,0,0,0,0,22,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,11
3,3,New York Central,147,137,115,115,141,591,666,570,570,702,70,135,0,0,0,35,0,0,123,0,80,50,0,0,0,140,0,0,130,0,91,66,34,34,34,74,34,34,91,34,17,0,0,0,0,22,0,0,22,0,0,5,10,10,10,0,10,10,2,10,0,4,0,0,0,0,0,0,0,0,12
1,0,John,147,137,115,24,141,591,666,570,570,702,70,135,0,0,0,35,0,0,214,0,80,50,0,0,0,140,0,0,130,0,91,66,34,34,34,74,34,34,91,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,1,10,0,4,0,0,0,0,0,0,0,0,12
1,1,Ty,147,137,24,24,141,591,666,570,570,702,70,135,0,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,34,34,34,74,34,34,91,34,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,2,Linda,147,5,24,24,141,591,666,570,570,702,70,135,132,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,74,34,34,91,34,0,0,0,0,0,0,0,0,0,0,0,5,8,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,3,Jeff,147,5,24,24,33,543,658,570,570,702,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,66,34,34,91,34,0,0,0,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,0,0,0,3,0,0,0,0,12
1,4,Casey,15,5,24,24,33,543,658,570,570,702,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,66,34,34,91,34,0,0,0,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,0,0,0,1,0,0,0,0,12
1,0,John,15,5,24,24,33,543,658,570,570,702,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,66,34,34,91,34,0,0,0,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,0,0,0,1,0,0,0,0,12
1,1,Ty,15,5,24,24,33,543,658,570,570,702,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,66,34,34,91,34,0,0,0,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,0,0,0,1,0,0,0,0,12
1,1,Ty,15,5,24,24,33,543,658,570,570,702,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,66,34,34,66,34,34,91,34,0,0,0,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,0,0,0,1,0,0,0,0,12
1,2,Linda,15,5,24,24,33,543,652,570,570,672,70,135,462,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,3,10,10,0,10,10,0,10,0,4,1,0,0,0,0,0,0,0,12
1,3,Jeff,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,4,Casey,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,0,John,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,1,Ty,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,2,Linda,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,3,Jeff,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
1,4,Casey,15,5,24,24,33,543,652,570,570,672,70,135,402,0,0,35,0,0,305,0,80,50,0,0,0,140,0,0,130,0,91,66,60,34,34,66,34,34,91,34,0,0,-6,0,0,-8,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
2,0,Baltimore & Ohio,15,5,69,69,33,543,652,660,660,666,30,135,402,0,0,35,0,0,305,0,90,50,0,0,0,140,0,0,130,0,100,60,60,34,34,66,34,34,91,34,18,0,0,0,0,0,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,12
2,1,Pennsylvania,15,95,87,87,87,543,787,687,687,747,30,135,402,0,0,35,0,0,80,0,90,50,0,0,0,140,0,0,180,0,100,60,60,34,34,66,34,34,100,34,18,0,0,0,0,0,0,0,27,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,13
2,2,New York Central,135,125,87,87,87,727,833,687,687,747,30,135,402,0,0,15,0,0,80,0,90,50,0,0,0,150,0,0,180,0,100,60,60,34,34,74,34,34,100,34,18,0,0,0,0,23,0,0,27,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,13
2,3,Boston & Maine,135,125,87,87,93,727,833,687,687,759,30,165,402,0,0,15,0,0,80,0,90,60,0,0,0,150,0,0,180,0,100,66,60,34,34,74,34,34,100,34,18,12,0,0,0,23,0,0,27,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,13
2,4,Chesapeake & Ohio,135,126,87,87,98,727,840,687,687,794,30,165,196,0,0,15,0,0,80,0,90,60,10,0,0,150,0,0,180,0,100,66,66,34,34,74,34,34,100,34,18,12,7,0,0,23,0,0,27,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
3,0,Baltimore & Ohio,135,126,87,87,98,727,840,687,687,794,110,165,196,0,0,15,0,0,80,0,90,60,10,0,0,150,0,0,180,0,100,66,66,34,34,74,34,34,100,34,0,0,0,0,0,0,0,0,0,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
3,1,Pennsylvania,135,221,106,106,155,727,985,716,716,881,110,165,196,0,0,15,0,0,50,0,90,60,10,0,0,150,0,0,190,0,100,66,66,34,34,74,34,34,110,34,0,0,0,0,0,0,0,0,29,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
3,2,New York Central,135,221,106,106,155,727,985,716,716,881,110,165,196,0,0,165,0,0,50,0,90,60,10,0,0,150,0,0,190,0,100,66,66,34,34,74,34,34,110,34,0,0,0,0,0,0,0,0,29,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
3,3,Boston & Maine,135,221,106,106,155,727,985,716,716,881,110,225,196,0,0,165,0,0,50,0,90,60,10,0,0,150,0,0,190,0,100,66,66,34,34,74,34,34,110,34,0,0,0,0,0,0,0,0,29,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
3,4,Chesapeake & Ohio,135,226,106,106,180,727,998,716,716,946,110,225,86,0,0,165,0,0,50,0,90,60,50,0,0,150,0,0,190,0,100,66,74,34,34,74,34,34,110,34,0,0,13,0,0,0,0,0,29,0,0,5,4,10,10,0,10,10,0,10,0,4,0,0,0,0,0,0,0,0,14
1,0,John,135,226,106,18,180,727,948,706,716,916,110,225,86,0,198,165,0,0,50,0,90,60,50,0,0,150,0,0,190,0,100,66,74,34,66,74,34,34,100,34,0,0,0,0,0,0,0,0,-10,0,0,5,4,10,7,0,10,10,0,10,0,4,0,0,0,0,0,0,1,0,14
1,1,Ty,135,226,8,18,180,727,903,706,716,889,110,225,86,0,396,165,0,0,50,0,90,60,50,0,0,150,0,0,190,0,100,66,74,34,66,74,34,34,91,34,0,0,0,0,0,0,0,0,-19,0,0,5,4,10,4,0,10,10,0,10,0,4,0,0,0,0,0,0,2,0,14
